episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
2340,117000,466.8,250.0834,-34.4225,-0.0014,0.1746,2.0678,0.0006,nan
2360,118000,470.5,221.1736,-33.9460,-0.0016,0.1081,2.0514,0.0005,nan
2380,119000,474.2,220.6533,-25.9618,-0.0012,0.1182,2.0543,0.0000,nan
2400,,,,,,,,,
2400,120000,479.6,181.7051,-27.8382,-0.0014,0.0884,2.0451,0.0003,nan
2420,121000,483.2,244.9952,-28.9250,-0.0017,0.1442,2.0560,0.0001,nan
2440,122000,486.9,224.7051,-31.2694,-0.0013,0.0923,2.0371,0.0006,nan
2460,123000,490.6,238.7065,-26.8503,-0.0015,0.1053,2.0321,0.0002,nan
2480,124000,494.2,237.7472,-32.0195,-0.0015,0.1302,2.0705,0.0004,nan
2500,,,,,,,,,
2500,125000,499.5,202.6612,-27.5607,-0.0015,0.0983,2.0540,0.0005,nan
2520,126000,503.2,239.9986,-30.5106,-0.0015,0.1026,2.0500,0.0002,nan
2540,127000,506.9,216.4748,-24.5279,-0.0010,0.1038,2.0495,-0.0002,nan
2560,128000,510.5,222.2650,-26.3265,-0.0010,0.1018,2.0354,0.0000,nan
2580,129000,514.3,235.5924,-32.8864,-0.0016,0.1139,2.0433,0.0007,nan
2600,,,,,,,,,
2600,130000,519.5,253.6596,-30.1125,-0.0014,0.1088,2.0600,-0.0001,nan
2620,131000,523.1,201.2574,-24.5042,-0.0010,0.1034,2.0656,-0.0003,nan
2640,132000,526.8,211.3364,-29.9225,-0.0015,0.1053,2.0560,0.0000,nan
2660,133000,530.5,207.3721,-21.6397,-0.0014,0.1059,2.0290,0.0005,nan
2680,134000,534.1,228.5939,-26.5378,-0.0018,0.1030,2.0481,0.0001,nan
2700,,,,,,,,,
2700,135000,539.3,196.0741,-31.5075,-0.0013,0.0714,2.0454,0.0002,nan
2720,136000,542.9,210.7380,-22.3899,-0.0016,0.1267,2.0373,-0.0003,nan
2740,137000,546.7,226.8748,-30.3487,-0.0016,0.1443,2.0354,-0.0004,nan
2760,138000,550.4,202.4945,-22.7390,-0.0012,0.0952,2.0660,0.0003,nan
2780,139000,554.2,212.2264,-28.8277,-0.0015,0.0947,1.9944,0.0005,nan
2800,,,,,,,,,
2800,140000,559.5,194.4719,-22.6225,-0.0015,0.1043,2.0271,-0.0000,nan
2820,141000,563.1,232.0860,-31.0748,-0.0012,0.0665,2.0151,0.0003,nan
