episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
3460,173000,931.9,18.771,-16.498,-0.0022,-0.0007,-0.0016,0.0325,1.4372,1.4261,0.0001
3480,174000,936.9,24.233,-24.543,-0.0019,-0.0011,-0.0016,0.0386,1.4342,1.4290,0.0005
3500,175000,942.0,18.729,-27.947,-0.0024,-0.0004,-0.0032,0.0380,1.4012,1.4185,-0.0002
3520,176000,947.0,17.834,-21.691,-0.0019,-0.0008,-0.0032,0.0252,1.4175,1.4341,0.0001
3540,177000,952.1,41.420,-25.869,-0.0027,-0.0005,-0.0005,0.0737,1.4131,1.4077,0.0001
3560,178000,957.2,31.069,-18.802,-0.0035,-0.0003,-0.0006,0.0340,1.4116,1.4165,0.0000
3580,179000,962.2,31.733,-22.649,-0.0026,-0.0005,-0.0012,0.0293,1.4029,1.4283,0.0002
3600,,,,,,,,,,,
3600,180000,969.7,34.164,-23.492,-0.0027,-0.0005,-0.0017,0.0370,1.4107,1.4323,0.0000
3620,181000,974.7,26.885,-26.414,-0.0017,-0.0006,-0.0019,0.0437,1.4038,1.4413,0.0003
3640,182000,979.9,42.927,-32.398,-0.0030,-0.0012,-0.0030,0.0497,1.4168,1.4264,-0.0001
3660,183000,985.1,52.284,-28.793,-0.0017,-0.0006,-0.0006,0.0616,1.4012,1.4177,0.0001
3680,184000,990.4,46.215,-25.505,-0.0026,-0.0006,-0.0014,0.0718,1.4184,1.3989,0.0002
3700,185000,995.7,63.518,-33.988,-0.0026,-0.0014,-0.0020,0.1033,1.3957,1.4203,-0.0001
3720,186000,1000.9,28.536,-17.887,-0.0020,-0.0011,-0.0016,0.0554,1.4249,1.4125,0.0004
3740,187000,1006.0,41.371,-32.169,-0.0015,-0.0004,-0.0017,0.0435,1.4221,1.4078,-0.0002
3760,188000,1011.1,40.353,-34.571,-0.0029,-0.0007,-0.0007,0.0622,1.4126,1.4024,0.0001
3780,189000,1016.2,29.690,-19.209,-0.0016,-0.0005,-0.0012,0.0335,1.4204,1.4010,-0.0002
3800,,,,,,,,,,,
3800,190000,1023.6,40.741,-26.936,-0.0035,-0.0012,-0.0013,0.0400,1.4160,1.3985,0.0001
3820,191000,1028.8,34.353,-20.182,-0.0017,-0.0007,-0.0013,0.0437,1.4078,1.4246,0.0005
